table_name,column_sequence,column_name,label,logical_type,field_size,precision,units,domain_name,plan_group,join_path,output_dimensions,rasterization_status,proposed_encoding
chconsistence,7,plasticity,Plasticity,Choice,254,,,plasticity,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chconsistence,8,rvindicator,RV?,Boolean,3,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chconsistence,9,chkey,Chorizon Key,String,254,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",linkage_key,retain only when it has independent provenance value
chconsistence,10,chconsistkey,Chorizon Consistence Key,String,254,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",linkage_key,retain only when it has independent provenance value
chdesgnsuffix,1,desgnsuffix,Suffix,Choice,254,,,horz_desgn_letter_suffix,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chdesgnsuffix,2,chkey,Chorizon Key,String,254,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",linkage_key,retain only when it has independent provenance value
chdesgnsuffix,3,chdesgnsfxkey,Chorizon Designation Suffix Key,String,254,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",linkage_key,retain only when it has independent provenance value
chfrags,1,fragvol_l,Vol % - Low Value,Integer,,,percent,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,2,fragvol_r,Vol % - Representative Value,Integer,,,percent,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,3,fragvol_h,Vol % - High Value,Integer,,,percent,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,4,fragkind,Kind,Choice,254,,,fragment_kind,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,5,fragsize_l,Size - Low Value,Integer,,,millimeters,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,6,fragsize_r,Size - Representative Value,Integer,,,millimeters,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,7,fragsize_h,Size - High Value,Integer,,,millimeters,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,8,fragshp,Shape,Choice,254,,,fragment_shape,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,9,fraground,Roundness,Choice,254,,,fragment_roundness,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,10,fraghard,Hardness,Choice,254,,,rupture_resist_block_cem,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chfrags,11,chkey,Chorizon Key,String,254,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",linkage_key,retain only when it has independent provenance value
chfrags,12,chfragskey,Chorizon Fragments Key,String,254,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",linkage_key,retain only when it has independent provenance value
chorizon,1,hzname,Designation,String,12,,,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,categorical code after dominant-condition logic
chorizon,2,desgndisc,Disc,Integer,,,,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,3,desgnmaster,Master,Choice,254,,,horz_desgn_master,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,categorical code after dominant-condition logic
chorizon,4,desgnmasterprime,Prime,Choice,254,,,horz_desgn_master_prime,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,categorical code after dominant-condition logic
chorizon,5,desgnvert,Sub,Integer,,,,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,6,hzdept_l,Top Depth - Low Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,7,hzdept_r,Top Depth - Representative Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,8,hzdept_h,Top Depth - High Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,9,hzdepb_l,Bottom Depth - Low Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,10,hzdepb_r,Bottom Depth - Representative Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,11,hzdepb_h,Bottom Depth - High Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,12,hzthk_l,Thickness - Low Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,13,hzthk_r,Thickness - Representative Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,14,hzthk_h,Thickness - High Value,Integer,,,centimeters,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,15,fraggt10_l,Rock >10 - Low Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,16,fraggt10_r,Rock >10 - Representative Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,17,fraggt10_h,Rock >10 - High Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,18,frag3to10_l,Rock 3-10 - Low Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,19,frag3to10_r,Rock 3-10 - Representative Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,20,frag3to10_h,Rock 3-10 - High Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,21,sieveno4_l,#4 - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,22,sieveno4_r,#4 - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,23,sieveno4_h,#4 - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,24,sieveno10_l,#10 - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,25,sieveno10_r,#10 - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,26,sieveno10_h,#10 - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,27,sieveno40_l,#40 - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,28,sieveno40_r,#40 - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,29,sieveno40_h,#40 - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,30,sieveno200_l,#200 - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,31,sieveno200_r,#200 - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,32,sieveno200_h,#200 - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,33,sandtotal_l,Total Sand - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,34,sandtotal_r,Total Sand - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,35,sandtotal_h,Total Sand - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,36,sandvc_l,vcos - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,37,sandvc_r,vcos - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,38,sandvc_h,vcos - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,39,sandco_l,cos - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,40,sandco_r,cos - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,41,sandco_h,cos - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,42,sandmed_l,ms - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,43,sandmed_r,ms - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,44,sandmed_h,ms - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,45,sandfine_l,fs - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,46,sandfine_r,fs - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,47,sandfine_h,fs - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,48,sandvf_l,vfs - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,49,sandvf_r,vfs - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,50,sandvf_h,vfs - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,51,silttotal_l,Total Silt - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,52,silttotal_r,Total Silt - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,53,silttotal_h,Total Silt - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,54,siltco_l,Coarse Silt - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,55,siltco_r,Coarse Silt - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,56,siltco_h,Coarse Silt - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,57,siltfine_l,Fine Silt - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,58,siltfine_r,Fine Silt - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,59,siltfine_h,Fine Silt - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,60,claytotal_l,Total Clay - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,61,claytotal_r,Total Clay - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,62,claytotal_h,Total Clay - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,63,claysizedcarb_l,CaCO3 Clay - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,64,claysizedcarb_r,CaCO3 Clay - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,65,claysizedcarb_h,CaCO3 Clay - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,66,om_l,OM - Low Value,Float,,2,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,67,om_r,OM - Representative Value,Float,,2,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,68,om_h,OM - High Value,Float,,2,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,69,dbtenthbar_l,Db 0.1 bar H2O - Low Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,70,dbtenthbar_r,Db 0.1 bar H2O - Representative Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,71,dbtenthbar_h,Db 0.1 bar H2O - High Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,72,dbthirdbar_l,Db 0.33 bar H2O - Low Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,73,dbthirdbar_r,Db 0.33 bar H2O - Representative Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,74,dbthirdbar_h,Db 0.33 bar H2O - High Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,75,dbfifteenbar_l,Db 15 bar H2O - Low Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,76,dbfifteenbar_r,Db 15 bar H2O - Representative Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,77,dbfifteenbar_h,Db 15 bar H2O - High Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,78,dbovendry_l,Db oven dry - Low Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,79,dbovendry_r,Db oven dry - Representative Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,80,dbovendry_h,Db oven dry - High Value,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,81,partdensity,Dp,Float,,2,grams per cubic centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,82,ksat_l,Ksat - Low Value,Float,,4,micrometers per second,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,83,ksat_r,Ksat - Representative Value,Float,,4,micrometers per second,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,84,ksat_h,Ksat - High Value,Float,,4,micrometers per second,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,85,awc_l,AWC - Low Value,Float,,2,centimeters per centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,86,awc_r,AWC - Representative Value,Float,,2,centimeters per centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,87,awc_h,AWC - High Value,Float,,2,centimeters per centimeter,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,88,wtenthbar_l,0.1 bar H2O - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,89,wtenthbar_r,0.1 bar H2O - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,90,wtenthbar_h,0.1 bar H2O - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,91,wthirdbar_l,0.33 bar H2O - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,92,wthirdbar_r,0.33 bar H2O - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,93,wthirdbar_h,0.33 bar H2O - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,94,wfifteenbar_l,15 bar H2O - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,95,wfifteenbar_r,15 bar H2O - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,96,wfifteenbar_h,15 bar H2O - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,97,wsatiated_l,Satiated H2O - Low Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,98,wsatiated_r,Satiated H2O - Representative Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,99,wsatiated_h,Satiated H2O - High Value,Integer,,,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,100,lep_l,LEP - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,101,lep_r,LEP - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,102,lep_h,LEP - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,103,ll_l,LL - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,104,ll_r,LL - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,105,ll_h,LL - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,106,pi_l,PI - Low Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,107,pi_r,PI - Representative Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,108,pi_h,PI - High Value,Float,,1,percent,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,109,aashind_l,AASHTO Group Index - Low Value,Integer,,,,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,110,aashind_r,AASHTO Group Index - Representative Value,Integer,,,,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,111,aashind_h,AASHTO Group Index - High Value,Integer,,,,,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,numeric raster with documented aggregation
chorizon,112,kwfact,Kw,Choice,254,,,soil_erodibility_factor,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,categorical code after dominant-condition logic
chorizon,113,kffact,Kf,Choice,254,,,soil_erodibility_factor,horizon_base,mukey -> component -> chorizon,"(depth_interval, statistic, y, x)",yes_after_aggregation,categorical code after dominant-condition logic
